iter	TotalF1	MultiClass
0	0.6063712505	2.107206476
1	0.780205403	1.998310454
2	0.7766640189	1.935757332
3	0.7540082763	1.858319
4	0.7846134174	1.766934341
5	0.7797187611	1.682622468
6	0.7811856092	1.605902465
7	0.7771858556	1.532076649
8	0.7798839505	1.47878192
9	0.7770454298	1.438523354
10	0.7799502417	1.391179596
11	0.7843554583	1.332474645
12	0.7868026179	1.275000204
13	0.793945842	1.228532844
14	0.7929585132	1.199502693
15	0.8007500142	1.153711534
16	0.7943143801	1.115939428
17	0.7984907024	1.083724106
18	0.801186479	1.057369794
19	0.7987399703	1.039932429
20	0.8051662562	1.00676143
21	0.8072435711	0.9748872022
22	0.8067320258	0.9476380113
23	0.8086608114	0.9334435587
24	0.8056089767	0.9115130541
25	0.8051135492	0.9075369414
26	0.8074672242	0.8995818453
27	0.8073392169	0.8772952021
28	0.8107971272	0.8621988338
29	0.8130968712	0.8477799651
30	0.8134826822	0.8330027811
31	0.8147604477	0.8176430787
32	0.814757583	0.8068454327
33	0.8144079367	0.7895693413
34	0.8140362143	0.7794377931
35	0.8147811957	0.7714985977
36	0.8153917756	0.7579942228
37	0.8156878808	0.7466796006
38	0.8115528237	0.7361836121
39	0.8153467088	0.7251901837
40	0.8163518094	0.7137217715
41	0.8149401646	0.7048737155
42	0.812948599	0.6950280954
43	0.8109609517	0.6870286911
44	0.8130747461	0.6829383959
45	0.8130763359	0.6767790515
46	0.8133603758	0.6693730621
47	0.8138778095	0.6636270359
48	0.8143770129	0.6566943611
49	0.8162248513	0.6497335674
50	0.8175525659	0.6430342304
51	0.8179385041	0.6379349449
52	0.8169710586	0.6324694242
53	0.8192512037	0.626540283
54	0.8194034185	0.6223848622
55	0.8201510156	0.6167016652
56	0.8193783595	0.611768346
57	0.819460759	0.6076364045
58	0.8203492545	0.6023507881
59	0.8211665709	0.597670546
60	0.8218982201	0.5942140811
61	0.8240925177	0.5905015816
62	0.8239553717	0.5860362588
63	0.8248669972	0.5823938817
64	0.8254855855	0.5798000364
65	0.8254855855	0.5762829882
66	0.8256434327	0.5729261246
67	0.8264901925	0.5690692659
68	0.8268866749	0.5659234892
69	0.8264901925	0.5629067276
70	0.8263658813	0.5594014736
71	0.8267623637	0.5561634388
72	0.8263577318	0.5531048111
73	0.8269364031	0.5503605031
74	0.8267670211	0.5475393657
75	0.8262742617	0.5453057414
76	0.8268666768	0.5429118543
77	0.8284263656	0.5400614676
78	0.8285730936	0.5377493594
79	0.8277807744	0.5356152984
80	0.8282738238	0.5331656824
81	0.8287754413	0.5309614952
82	0.8297744819	0.5287014595
83	0.8310745897	0.526216251
84	0.8300598057	0.5239584704
85	0.8310400808	0.521173456
86	0.8317955139	0.5190993511
87	0.8318176754	0.5186968631
88	0.831317794	0.517072101
89	0.8318466717	0.5148898099
90	0.832732523	0.512591622
91	0.8314591004	0.5105912692
92	0.8329458326	0.5085363952
93	0.8329458326	0.5065456493
94	0.8324077155	0.5048172412
95	0.8329394353	0.5029488915
96	0.8329458326	0.5010449055
97	0.8319560204	0.499507139
98	0.8322341913	0.4977987189
99	0.8321638475	0.4961854103
100	0.8320930979	0.4945663339
101	0.8334893252	0.4928455665
102	0.8330483295	0.4913329529
103	0.8324077155	0.4900840731
104	0.8330483295	0.4886236199
105	0.8339849301	0.4868321335
106	0.8349100179	0.4849903252
107	0.8353223374	0.4834484612
108	0.8349100179	0.4818507419
109	0.83586065	0.480752021
110	0.83586065	0.4792514017
111	0.8364421446	0.477819297
112	0.8368549147	0.4770647747
113	0.8372992873	0.4758188284
114	0.8381760516	0.4741073996
115	0.8389724309	0.4727926729
116	0.8389724309	0.4714542176
117	0.8393695098	0.470224557
118	0.8402921613	0.4688875447
119	0.8407359624	0.467691921
120	0.8416106163	0.465874345
121	0.8420921287	0.4646138385
122	0.8416962548	0.4637990425
123	0.8425981608	0.4620983548
124	0.8425565966	0.4607988824
125	0.8443912944	0.4591924409
126	0.8452669758	0.4578934068
127	0.845665344	0.4568891413
128	0.8448227548	0.4561195473
129	0.84574369	0.454329048
130	0.8461433704	0.4532138022
131	0.8474945413	0.4517513053
132	0.8484421484	0.4504306466
133	0.8479688918	0.4490865851
134	0.8470942171	0.4481490317
135	0.8479688918	0.4479377917
136	0.8475679842	0.4470142482
137	0.8475679842	0.4461831176
138	0.8480406624	0.4449978435
139	0.8485493972	0.444267078
140	0.8485493972	0.4432196781
141	0.8490195322	0.441858304
142	0.8490195322	0.4410756069
143	0.8494886105	0.440347587
144	0.8494886105	0.4394335111
145	0.8494886105	0.4385022013
146	0.8498902052	0.4377102299
147	0.8498902052	0.4368219727
148	0.8498902052	0.43592484
149	0.850421658	0.4349898388
150	0.8507851628	0.4330644468
151	0.8503445623	0.4320932379
152	0.8508478855	0.4314936654
153	0.8512255072	0.4302463097
154	0.8508015818	0.4293310483
155	0.8517099655	0.4284622012
