iter	Passed	Remaining
0	22	3468
1	41	3196
2	61	3152
3	79	3017
4	99	2998
5	122	3070
6	144	3067
7	164	3040
8	180	2940
9	188	2747
10	209	2766
11	231	2783
12	254	2797
13	276	2799
14	291	2738
15	311	2724
16	323	2644
17	344	2640
18	358	2583
19	382	2600
20	401	2578
21	420	2563
22	443	2566
23	450	2478
24	464	2433
25	465	2327
26	467	2235
27	493	2253
28	516	2260
29	530	2228
30	540	2181
31	563	2184
32	569	2121
33	590	2117
34	607	2101
35	617	2058
36	634	2040
37	656	2039
38	675	2025
39	694	2014
40	717	2012
41	739	2005
42	757	1990
43	776	1975
44	779	1923
45	794	1901
46	815	1890
47	823	1853
48	844	1843
49	868	1840
50	891	1835
51	914	1828
52	932	1811
53	951	1797
54	970	1783
55	995	1777
56	1019	1770
57	1038	1754
58	1063	1748
59	1091	1745
60	1117	1739
61	1151	1745
62	1185	1750
63	1218	1752
64	1240	1737
65	1263	1723
66	1288	1711
67	1312	1698
68	1335	1684
69	1354	1664
70	1371	1642
71	1387	1618
72	1399	1591
73	1419	1572
74	1440	1555
75	1460	1537
76	1469	1507
77	1488	1488
78	1505	1467
79	1526	1450
80	1544	1430
81	1563	1411
82	1580	1390
83	1601	1373
84	1621	1354
85	1640	1335
86	1660	1316
87	1662	1284
88	1678	1263
89	1700	1247
90	1723	1230
91	1740	1210
92	1759	1192
93	1783	1176
94	1803	1157
95	1826	1141
96	1848	1124
97	1864	1103
98	1884	1085
99	1907	1068
100	1927	1049
101	1944	1029
102	1966	1011
103	1984	992
104	2000	971
105	2018	952
106	2038	933
107	2058	915
108	2080	896
109	2099	878
110	2120	859
111	2137	839
112	2143	815
113	2166	798
114	2182	778
115	2203	759
116	2227	742
117	2247	723
118	2273	706
119	2294	688
120	2312	668
121	2327	648
122	2330	625
123	2347	605
124	2372	588
125	2396	570
126	2417	551
127	2434	532
128	2460	514
129	2482	496
130	2500	477
131	2522	458
132	2546	440
133	2568	421
134	2593	403
135	2595	381
136	2613	362
137	2628	342
138	2647	323
139	2663	304
140	2683	285
141	2698	266
142	2721	247
143	2740	228
144	2757	209
145	2775	190
146	2800	171
147	2819	152
148	2839	133
149	2863	114
150	2888	95
151	2910	76
152	2933	57
153	2948	38
154	2969	19
155	2988	0
